"Symb","Proportion","Orders","Buys","AtAsk","AtBid","NetPrems","PremsChng","AvgExpD","OTM%","OTMScore","Unusual%","SpotChng","Ivol%"
"USO","83%","5","40.0","166.11K","982.80K","-816.69K","236.8%","75.2","40.0%","15","0.2","0","33.7"
"PANW","45%","13","53.8","557.29K","1.40M","-846.74K","100.0%","51.1","53.8%","11.1","0.9","0","47.44"
"XRT","75%","9","11.1","29.03K","900.72K","-871.69K","666.1%","1.0","11.1%","-1.4","0.3","0","57.73"
"SI","58%","62","37.1","1.21M","2.11M","-894.22K","100.0%","26.1","33.9%","16.3","1.1","0","203.56"
"SPOT","62%","8","37.5","390.07K","1.61M","-1.22M","100.0%","64.9","37.5%","6.5","0.7","0","43.27"
"DKNG","84%","49","24.5","770.89K","2.05M","-1.28M","100.0%","53.4","20.4%","5.4","1.8","0","132.86"
"TGT","67%","18","38.9","452.65K","1.76M","-1.31M","806.3%","69.1","38.9%","3.1","1.8","0","42.97"
"SQ","61%","34","38.2","1.52M","3.04M","-1.53M","100.0%","28.8","38.2%","9.7","0.4","0","81.33"
"IWM","26%","94","43.6","5.19M","6.84M","-1.64M","100.0%","27.6","43.6%","0.3","0.6","0","24.97"
"BA","55%","42","33.3","1.14M","2.95M","-1.80M","598.9%","116.2","33.3%","2.3","0.4","0","34.35"
"GOOGL","66%","184","50.0","5.29M","7.10M","-1.81M","148.2%","81.5","50.0%","2.9","0.4","0","34.42"
"NVDA","48%","286","46.9","15.17M","17.34M","-2.16M","147.0%","35.6","46.5%","4.2","0.3","0","61.35"
"DASH","60%","55","56.4","2.33M","4.58M","-2.25M","1197.3%","14.2","56.4%","1.9","5.0","0","165.83"
"DIS","48%","26","46.2","549.85K","2.95M","-2.40M","278.9%","144.0","46.2%","5.5","0.2","0","29.94"
"WYNN","73%","71","33.8","1.25M","4.03M","-2.79M","100.0%","37.6","33.8%","-2","1.4","0","40.37"
"MSFT","48%","139","46.8","5.03M","7.92M","-2.89M","233.7%","55.4","46.8%","2.6","0.2","0","28.35"
"SQQQ","93%","124","39.5","3.12M","6.92M","-3.80M","565.6%","40.3","39.5%","5.4","0.8","0","78.23"
"AMZN","67%","283","47.3","10.29M","14.59M","-4.30M","100.0%","83.4","47.3%","3.7","0.7","0","38.79"
"Z","80%","8","25.0","100.75K","6.14M","-6.04M","100.0%","85.0","25.0%","-3","0.5","0","53.85"
"AAPL","54%","363","47.1","14.67M","25.88M","-11.21M","100.0%","51.3","46.3%","0.6","0.8","0","29.46"
"QQQ","35%","554","46.4","26.71M","42.96M","-16.25M","227.1%","24.5","46.4%","0.9","0.6","0","27.85"
