"Time","Symbol","Type","Price","Size","Value","Filled","Sector","Mcap Proportion"
"03-08 17:18:43.033","DHR","Blocktrade","247.76","1.63K","403.11K","AtBid","Healthcare","1627"
"03-08 17:18:43.026","SYM","Blocktrade","17.4","27.25K","474.12K","AtBid","N/A","27248"
"03-08 17:18:43.010","UE","Blocktrade","14.86","179.86K","2.67M","AtBid","Real Estate","179861"
"03-08 17:18:42.996","DDS","Blocktrade","355.5","1.48K","527.56K","AtAsk","Consumer Cyclical","1484"
"03-08 17:18:42.906","MCD","Blocktrade","265.33","1.93K","512.09K","AtBid","Consumer Cyclical","1930"
"03-08 17:18:42.900","ADI","Blocktrade","186.57","2.23K","416.42K","AtBid","Technology","2232"
"03-08 17:18:42.896","AMP","Blocktrade","336.97","1.26K","425.59K","AtBid","Financial","1263"
"03-08 17:18:42.879","PLXS","Blocktrade","98.93","2.88K","285.41K","AtAsk","Technology","2885"
"03-08 17:18:42.843","KMT","Blocktrade","29.34","14.95K","438.75K","NoMatch","Industrials","14954"
"03-08 17:18:42.838","LPLA","Blocktrade","253.15","1.21K","306.82K","AtBid","Financial","1212"
"03-08 17:18:42.821","WIX","Blocktrade","93.04","3.28K","305.45K","AtBid","Technology","3283"
"03-08 17:18:42.818","XLV","Blocktrade","126.35","2.61K","329.9K","AtBid","Financial","2611"
"03-08 17:18:42.793","CPNG","Blocktrade","14.22","44.66K","635.12K","AtBid","N/A","44664"
"03-08 17:18:42.785","SSRM","Blocktrade","13","35.36K","459.67K","AtBid","Basic Materials","35359"
"03-08 17:18:42.773","OKTA","Blocktrade","85.96","3.04K","261.49K","AtAsk","Technology","3042"
"03-08 17:18:42.767","BDC","Blocktrade","86.17","3.0K","258.34K","AtAsk","Industrials","2998"
"03-08 17:18:42.741","CWST","Blocktrade","78.14","4.23K","330.22K","AtBid","Industrials","4226"
"03-08 17:18:42.734","MA","Blocktrade","359.03","3.3K","1.18M","AtBid","Financial","3296"
"03-08 17:18:42.734","CHK","Blocktrade","78.43","3.33K","260.86K","NoMatch","N/A","3326"
"03-08 17:18:42.727","TTC","Blocktrade","113.26","2.8K","317.01K","AtAsk","Industrials","2799"
"03-08 17:18:42.710","WTS","Blocktrade","175.48","2.09K","366.75K","AtBid","Industrials","2090"
"03-08 17:18:42.672","NEWR","Blocktrade","75.1","4.09K","307.31K","AtAsk","Technology","4092"
"03-08 17:18:42.637","CBSH","Blocktrade","63.79","4.42K","282.08K","AtBid","Financial","4422"
"03-08 17:18:42.606","MMSI","Blocktrade","66.73","3.8K","253.57K","AtAsk","Healthcare","3800"
"03-08 17:18:40.993","ALIT","Blocktrade","9.69","37.24K","360.86K","AtAsk","N/A","37240"
"03-08 17:18:40.942","AVDX","Blocktrade","9","34.03K","306.27K","AtBid","N/A","34030"
"03-08 17:18:40.888","GFI","Blocktrade","9.13","46.87K","427.9K","AtBid","Basic Materials","46868"
"03-08 17:18:40.847","ULCC","Blocktrade","11.75","243.02K","2.86M","AtAsk","N/A","243024"
"03-08 17:18:40.845","ETWO","Blocktrade","5.53","47.69K","263.7K","AtBid","N/A","47686"
"03-08 17:18:40.811","NYMT","Blocktrade","2.4","292.36K","701.67K","AtBid","Real Estate","292362"
"03-08 17:18:40.786","CHGG","Blocktrade","16.56","57.01K","944.02K","AtBid","Consumer Defensive","57006"
"03-08 17:18:40.756","TWOU","Blocktrade","9.19","285.46K","2.62M","AtBid","Consumer Defensive","285465"
"03-08 17:17:46.075","AMZN","Blocktrade","93.85","7.67K","719.55K","AtBid","Consumer Cyclical","7667"
"03-08 17:17:01.393","CCL","Blocktrade","10.55","172.0K","1.81M","AtAsk","Consumer Cyclical","172000"
"03-08 17:16:10.687","TSLA","Blocktrade","181.95","1.5K","272.93K","AtAsk","Consumer Cyclical","1500"
"03-08 17:16:02.169","LLY","Blocktrade","310.15","1.5K","465.23K","AtBid","Healthcare","1500"
"03-08 17:15:39.257","META","Blocktrade","184.94","9.5K","1.76M","AtAsk","Communication Services","9500"
"03-08 17:14:50.074","KDP","Blocktrade","34.78","72.23K","2.51M","AtBid","Consumer Defensive","72228"
"03-08 17:14:50.073","XLV","Blocktrade","126.35","33.77K","4.27M","AtBid","Financial","33767"
"03-08 17:14:50.000","BMY","Blocktrade","67.29","34.83K","2.34M","AtBid","Healthcare","34828"
"03-08 17:14:49.873","ARKK","Blocktrade","38.91","93.81K","3.65M","NoMatch","Financial","93805"
"03-08 17:14:49.868","DKNG","Blocktrade","19.58","51.57K","1.01M","AtBid","Financial","51571"
"03-08 17:14:49.865","CELH","Blocktrade","88.21","4.23K","372.95K","AtBid","Consumer Defensive","4228"
"03-08 17:14:49.703","PANW","Blocktrade","188.38","25.43K","4.79M","AtBid","Technology","25425"
"03-08 17:14:49.519","XLU","Blocktrade","65.98","121.21K","8.0M","AtBid","Financial","121213"
"03-08 17:14:49.265","NOC","Blocktrade","465.25","5.22K","2.43M","AtBid","Industrials","5218"
"03-08 17:14:49.154","UNH","Blocktrade","470.6","18.91K","8.9M","AtBid","Healthcare","18911"
"03-08 17:14:49.132","IBM","Blocktrade","128.05","3.65K","467.89K","AtBid","Technology","3654"
"03-08 17:14:49.034","TSCO","Blocktrade","228.45","11.18K","2.55M","AtAsk","Consumer Cyclical","11177"
"03-08 17:14:48.723","INTC","Blocktrade","25.98","349.4K","9.08M","AtAsk","Technology","349400"
"03-08 17:11:43.338","BIG","Blocktrade","14.6","32.66K","476.84K","AtBid","Consumer Defensive","32660"
"03-08 17:11:14.868","PFG","Blocktrade","83.23","18.26K","1.52M","AtBid","Financial","18256"
"03-08 17:11:10.584","BYND","Blocktrade","18.18","20.04K","364.24K","AtAsk","Consumer Defensive","20035"
