"Symb","Proportion","Ords","Buys","AtAsk","AtBid","NetPr","PremsChng","AExpD","OTM%","OTMSc","Unusual%","SpotChng","Ivol%"
"MNST","80%","4","50.0","92.49K","54.60K","37.89K","-37.0%","183.0","50.0%","22.4","2.0","0","28.23"
"GME","23%","3","66.7","64.19K","26.34K","37.85K","76.6%","64.0","66.7%","-3.9","0.5","0","93.16"
"NOW","60%","3","66.7","67.14K","34.26K","32.88K","100.0%","124.7","66.7%","24.9","2.5","0","42.12"
"BRZU","20%","1","100.0","31.70K","0.00","31.70K","100.0%","29.0","100.0%","5.6","1.0","0","110.1"
"ATVI","8%","1","100.0","28.89K","0.00","28.89K","100.0%","29.0","100.0%","3.6","0.1","0","27.67"
"TGTX","6%","1","100.0","27.68K","0.00","27.68K","-931.5%","29.0","100.0%","-0.7","1.7","0","95.8"
"BIDU","18%","3","66.7","150.32K","123.23K","27.09K","100.0%","150.3","66.7%","15.6","0.2","0","58.29"
"BIIB","20%","1","100.0","26.91K","0.00","26.91K","100.0%","29.0","100.0%","4.3","2.5","0","33.75"
"SAVA","17%","1","100.0","25.25K","0.00","25.25K","-92.4%","29.0","100.0%","-11.9","1.0","0","92.16"
"RDFN","50%","3","66.7","64.60K","44.64K","19.96K","-17.9%","19.7","33.3%","-4.8","2.5","0","152.46"
"COST","22%","2","50.0","52.36K","33.60K","18.76K","100.0%","64.0","50.0%","8.9","0.2","0","27.75"
"PLD","83%","5","60.0","106.13K","87.38K","18.75K","100.0%","64.0","60.0%","4.5","3.0","0","27.39"
"HD","81%","21","47.6","1.01M","997.08K","16.30K","100.0%","34.3","47.6%","4.5","1.2","0","34.35"
"SE","27%","8","25.0","317.07K","301.62K","15.45K","85.8%","50.0","25.0%","2.1","0.6","0","70.38"
"LEN","80%","4","50.0","93.49K","82.37K","11.11K","75.9%","93.8","50.0%","14.1","0.8","0","30.51"
"FANG","60%","3","66.7","57.65K","47.68K","9.96K","100.0%","10.3","66.7%","1.6","0.8","0","40.59"
"RIVN","29%","11","36.4","343.55K","334.79K","8.76K","100.0%","61.5","36.4%","4.4","0.8","0","87.26"
"AXP","30%","3","66.7","59.16K","50.50K","8.66K","96.7%","59.3","66.7%","2.1","0.8","0","37.11"
"BITO","20%","4","50.0","78.67K","70.91K","7.75K","66.7%","51.8","50.0%","8.7","0.8","0","67.69"
"RBLX","41%","18","50.0","353.62K","346.05K","7.57K","97.8%","56.2","50.0%","14.1","0.6","0","69.43"
"AEM","56%","9","66.7","232.11K","227.12K","5.00K","100.0%","221.1","66.7%","14.4","10.0","0","41.9"
"KHC","40%","2","50.0","29.71K","28.08K","1.63K","100.0%","64.0","50.0%","0.3","1.7","0","21.23"
"RTX","12%","2","50.0","40.02K","38.67K","1.35K","100.0%","60.5","50.0%","1.2","1.7","0","23.14"
"STNG","31%","5","60.0","100.25K","99.80K","445.00","82.8%","66.8","60.0%","-0.4","1.9","0","53.76"
"PDD","32%","8","25.0","213.04K","217.74K","-4.69K","114.1%","99.9","25.0%","33.8","0.2","0","59.34"
"TGT","33%","9","44.4","281.02K","294.64K","-13.61K","105.7%","71.0","44.4%","3.6","1.1","0","42.97"
"MS","40%","12","58.3","343.69K","357.55K","-13.85K","108.2%","139.3","58.3%","4.5","1.1","0","25.83"
"CVE","15%","5","40.0","77.22K","92.91K","-15.70K","100.0%","90.6","40.0%","11.8","10.0","0","41.06"
"NIO","31%","10","40.0","497.22K","515.29K","-18.07K","100.0%","81.5","30.0%","0.3","1.7","0","77.54"
"SHEL","44%","4","50.0","102.83K","127.32K","-24.49K","132.9%","78.0","50.0%","-1.2","0.6","0","23.88"
"CVS","23%","3","33.3","49.03K","73.71K","-24.68K","100.0%","152.7","33.3%","0.6","0.2","0","21.92"
"AAL","60%","9","33.3","305.25K","330.08K","-24.83K","163.0%","295.0","33.3%","8.1","0.6","0","40.84"
"LAC","60%","3","33.3","39.83K","66.44K","-26.61K","100.0%","477.0","33.3%","12.7","1.0","0","73.43"
"BP","47%","8","50.0","163.50K","190.29K","-26.79K","134.1%","351.9","50.0%","0.9","0.2","0","28.49"
