"Symbol","Sentiment","TotalAmount","DailyAmount Change","AtAsk","AtBid","NetValue","DPTrades","BlockTrades"
"INTU","","35.79M","-44.16%","18.81M","6.15M","12.66M","0","9"
"FLR","","35.72M","395.35%","21.05M","10.16M","10.89M","2","12"
"FSLR","","35.47M","39.27%","3.76M","31.45M","-27.69M","6","16"
"CMCSA","","35.42M","29.7%","19.84M","12.93M","6.91M","4","4"
"PHM","","34.99M","-35.11%","5.01M","29.19M","-24.18M","1","10"
"AME","","34.97M","749.2%","29.99M","4.58M","25.41M","0","4"
"VIG","","34.75M","-45.37%","13.1M","12.13M","971.42K","6","31"
"MPC","","34.7M","10.35%","24.33M","10.37M","13.96M","1","5"
"TZA","","34.66M","94.21%","7.5M","16.81M","-9.31M","12","32"
"SPYV","","34.31M","93.99%","8.19M","23.46M","-15.27M","1","13"
"UAL","","34.25M","240.05%","15.8M","10.62M","5.19M","29","45"
"TPR","","34.06M","60.14%","13.89M","19.34M","-5.45M","4","7"
"FDX","","33.9M","-23.98%","11.27M","22.63M","-11.35M","6","11"
"GILD","","33.82M","-34.27%","0","33.82M","-33.82M","6","0"
"PDD","","33.67M","-83.64%","29.3M","4.38M","24.92M","12","4"
"DD","","33.49M","-6.91%","610.28K","32.88M","-32.27M","2","4"
"CBRE","","33.31M","-17.99%","0","31.64M","-31.64M","0","7"
"STZ","","33.24M","-12.11%","3.64M","0","3.64M","0","4"
"SCZ","","33.2M","-11.76%","0","33.2M","-33.2M","4","1"
"TCOM","","33.16M","35.45%","25.65M","6.42M","19.23M","13","15"
"NRG","","32.94M","111.14%","15.89M","16.04M","-156.45K","0","7"
"TFLO","","32.94M","-36.84%","3.11M","20.03M","-16.92M","0","38"
"AJG","","32.86M","-8.05%","32.19M","671.3K","31.52M","0","6"
"SH","","32.79M","11.66%","6.52M","15.92M","-9.39M","0","39"
"CTRA","","32.46M","4.68%","3.38M","29.08M","-25.7M","2","16"
"PANW","","32.21M","-80.77%","29.73M","2.48M","27.25M","1","6"
"GOOG","","31.8M","-72.08%","31.8M","0","31.8M","1","0"
"SOXL","","31.74M","-54.69%","10.66M","11.63M","-967.39K","20","53"
"GOVT","","31.65M","-49.58%","10.92M","15.49M","-4.57M","0","32"
"TMO","","31.56M","1.04%","20.9M","10.66M","10.24M","3","2"
"WBA","","31.47M","25.48%","13.07M","14.87M","-1.8M","14","34"
"BBJP","","31.44M","-46.74%","30.92M","0","30.92M","2","2"
"AON","","31.28M","-19.99%","31.28M","0","31.28M","0","2"
"VCSH","","31.1M","-70.26%","16.72M","1.92M","14.81M","0","46"
"VICI","","31.1M","4.9%","979.36K","24.51M","-23.53M","3","8"
"RTX","","31.0M","60.83%","0","26.16M","-26.16M","0","6"
"BIIB","","30.91M","107.25%","1.61M","29.31M","-27.7M","0","6"
"MDY","","30.47M","10.76%","24.36M","5.49M","18.87M","4","13"
"SPYG","","30.39M","6.1%","27.3M","1.15M","26.16M","2","11"
"LNW","","30.07M","562.64%","30.07M","0","30.07M","0","3"
"KWEB","","29.58M","-21.8%","16.98M","10.01M","6.97M","0","16"
"CRM","","29.49M","-57.04%","5.03M","24.46M","-19.43M","1","6"
"IWY","","29.49M","295.96%","26.94M","251.61K","26.69M","2","6"
"FICO","","29.43M","-31.92%","24.8M","4.63M","20.17M","1","4"
"SGEN","","29.37M","-68.1%","1.44M","16.91M","-15.46M","0","36"
"HWM","","29.36M","-10.19%","1.13M","27.03M","-25.9M","3","10"
"VEU","","29.35M","117.11%","9.74M","8.29M","1.45M","0","31"
"FIS","","29.35M","-46.38%","0","29.35M","-29.35M","2","4"
"EWY","","29.33M","57.11%","0","28.94M","-28.94M","3","8"
"JPM","","29.3M","-65.58%","11.85M","17.45M","-5.6M","2","2"
"BK","","29.25M","-43.84%","8.42M","20.83M","-12.4M","3","7"
"IEX","","29.22M","2.83%","28.25M","295.94K","27.95M","0","4"
"BEKE","","28.87M","-22.34%","20.62M","1.5M","19.12M","7","20"
"CVNA","","28.81M","2.1%","12.14M","15.53M","-3.4M","16","36"
"TIP","","28.78M","76.15%","3.57M","13.6M","-10.03M","1","33"
"WING","","28.78M","41.38%","22.83M","2.46M","20.38M","1","11"
"CHD","","28.65M","-26.53%","287.41K","3.57M","-3.28M","1","7"
"CRWD","","28.55M","-56.92%","7.19M","11.52M","-4.33M","6","26"
"COR","","28.36M","-23.43%","25.64M","283.42K","25.36M","0","12"
"SLG","","28.27M","1529.7%","781.58K","27.22M","-26.44M","2","3"
"MLM","","28.23M","-13.61%","6.54M","18.94M","-12.4M","2","5"
"XLC","","28.11M","147.05%","15.67M","10.27M","5.4M","7","14"
"LW","","27.96M","-16.73%","330.46K","20.76M","-20.43M","0","19"
"TEL","","27.94M","-70.78%","27.94M","0","27.94M","0","6"
"GRMN","","27.87M","-22.33%","26.75M","0","26.75M","0","6"
"HPE","","27.83M","-43.32%","25.4M","738.97K","24.66M","2","4"
"VTR","","27.7M","-26.82%","729.86K","26.97M","-26.24M","1","6"
"BLDR","","27.59M","92.58%","14.91M","3.36M","11.55M","2","23"
"BNDX","","27.42M","-25.21%","10.53M","6.88M","3.65M","2","25"
"TTD","","27.02M","68.95%","18.45M","1.85M","16.6M","4","16"
"NEWR","","26.98M","120.74%","416.99K","20.74M","-20.32M","2","15"
"QUAL","","26.91M","5.43%","15.17M","2.56M","12.6M","3","25"
"WMT","","26.87M","-8.02%","15.23M","11.63M","3.6M","0","3"
"TRP","","26.72M","61.71%","14.4M","10.5M","3.91M","2","3"
"BZ","","26.43M","90.12%","25.88M","286.45K","25.59M","1","3"
"ANET","","26.17M","-38.59%","13.38M","9.48M","3.9M","1","18"
"ELV","","25.91M","-66.84%","2.12M","9.5M","-7.39M","2","15"
"BF/B","","25.75M","-2.43%","1.81M","23.93M","-22.12M","0","9"
"PBR","","25.72M","-32.95%","16.43M","4.72M","11.71M","2","10"
"IQV","","25.64M","-36.27%","24.41M","0","24.41M","0","5"
"WST","","25.58M","-44.17%","2.02M","23.56M","-21.54M","0","3"
"MOH","","25.52M","32.45%","1.56M","23.95M","-22.39M","0","3"
"EA","","25.41M","-19.82%","12.83M","6.92M","5.92M","2","9"
"SCHV","","25.41M","426.66%","2.15M","22.37M","-20.23M","2","3"
"FE","","25.19M","27.76%","4.36M","20.48M","-16.13M","0","15"
"BKLN","","24.86M","-48.39%","19.86M","1.45M","18.41M","1","11"
"COO","","24.82M","2.47%","0","21.28M","-21.28M","0","7"
"MAA","","24.69M","26.41%","896.97K","22.21M","-21.32M","0","9"
"XHB","","24.64M","64.47%","10.85M","9.11M","1.73M","8","31"
"FTV","","24.39M","-29.51%","21.93M","388.55K","21.54M","0","9"
"PBR/A","","24.36M","816.05%","23.65M","443.26K","23.2M","6","10"
"STT","","24.31M","-13.49%","19.95M","1.38M","18.56M","1","18"
"CMA","","24.27M","109.05%","1.24M","22.65M","-21.41M","1","7"
"ILMN","","24.23M","47.26%","5.71M","7.52M","-1.81M","5","30"
"PAYX","","24.22M","208.88%","2.74M","13.26M","-10.51M","2","6"
"VAC","","24.15M","615.53%","21.16M","1.88M","19.27M","9","7"
"BDX","","24.12M","179.53%","0","8.94M","-8.94M","0","6"
"PXI","","24.07M","904.68%","19.69M","0","19.69M","2","7"
"USMV","","23.93M","-20.67%","6.68M","11.6M","-4.91M","4","24"
"USFR","","23.91M","-73.81%","5.04M","3.09M","1.96M","0","45"
"AES","","23.83M","148.77%","6.8M","15.52M","-8.71M","4","4"
"BAX","","23.82M","129.63%","16.28M","892.02K","15.39M","2","20"
"ULTA","","23.64M","58.75%","22.67M","0","22.67M","1","9"
"NIO","","23.58M","-58.59%","15.47M","3.35M","12.13M","9","25"
"PSL","","23.57M","0%","2.4M","19.03M","-16.63M","1","5"
"RETA","","23.5M","47.07%","9.8M","6.63M","3.18M","2","15"
"DGX","","23.33M","-0.68%","0","22.22M","-22.22M","0","8"
